NTP,tRNA,Amino Acids,Creatine_Phosphate,TL Enzymes
3000.0,2.5,600.0,500.0,2.4000000000000004
900.0,2.5,600.0,1500.0,6.0
600.0,5.0,600.0,5000.0,1.7999999999999998
900.0,2.5,600.0,1500.0,5.4
1200.0,3.5,600.0,5000.0,1.7999999999999998
900.0,3.5,600.0,1000.0,2.4000000000000004
900.0,1.5,600.0,5000.0,1.2000000000000002
2700.0,3.0,600.0,500.0,3.5999999999999996
900.0,5.0,600.0,1000.0,0.6000000000000001
900.0,1.0,600.0,5000.0,0.6000000000000001
2700.0,4.0,600.0,500.0,2.4000000000000004
2700.0,4.0,600.0,500.0,1.7999999999999998
3000.0,5.0,600.0,2000.0,5.4
300.0,1.0,600.0,5000.0,4.800000000000001
1200.0,1.5,600.0,2000.0,4.800000000000001
600.0,3.0,540.0,5000.0,5.4
3000.0,1.5,540.0,500.0,1.7999999999999998
2400.0,3.0,600.0,5000.0,4.199999999999999
1200.0,2.5,540.0,5000.0,6.0
1200.0,2.0,540.0,5000.0,4.800000000000001
3000.0,5.0,600.0,2500.0,3.5999999999999996
3000.0,4.0,600.0,2500.0,3.5999999999999996
1200.0,4.0,600.0,1000.0,4.199999999999999
900.0,4.0,600.0,4500.0,2.4000000000000004
300.0,4.0,540.0,5000.0,4.800000000000001
1200.0,1.0,600.0,4500.0,4.800000000000001
600.0,1.5,600.0,4500.0,3.0
3000.0,2.5,600.0,1500.0,1.7999999999999998
3000.0,4.5,540.0,2000.0,3.0
1200.0,0.5,600.0,1000.0,5.4
2700.0,1.0,600.0,5000.0,4.800000000000001
2100.0,2.0,600.0,5000.0,1.7999999999999998
1200.0,3.5,600.0,1000.0,2.4000000000000004
3000.0,3.0,600.0,2500.0,1.2000000000000002
1200.0,2.0,600.0,1500.0,2.4000000000000004
2400.0,5.0,600.0,4500.0,4.800000000000001
3000.0,1.5,540.0,2000.0,3.0
2700.0,0.5,600.0,5000.0,3.5999999999999996
2100.0,1.5,600.0,4500.0,5.4
2700.0,1.0,540.0,500.0,3.5999999999999996
1800.0,3.5,600.0,4500.0,5.4
3000.0,3.0,540.0,2000.0,0.6000000000000001
1800.0,3.0,600.0,500.0,6.0
1500.0,3.0,600.0,4500.0,4.199999999999999
3000.0,4.5,540.0,1500.0,4.800000000000001
3000.0,2.0,480.0,1000.0,4.199999999999999
2700.0,5.0,600.0,1500.0,6.0
300.0,2.0,600.0,4500.0,1.2000000000000002
3000.0,4.0,540.0,2500.0,3.5999999999999996
3000.0,1.0,540.0,1500.0,6.0
1500.0,3.0,600.0,4500.0,1.7999999999999998
1200.0,1.0,600.0,1000.0,0.6000000000000001
1500.0,1.0,540.0,5000.0,1.7999999999999998
600.0,2.5,540.0,4500.0,2.4000000000000004
900.0,5.0,420.0,5000.0,5.4
2400.0,2.5,600.0,1000.0,1.2000000000000002
2400.0,0.5,600.0,4500.0,3.0
300.0,3.5,480.0,5000.0,4.199999999999999
1200.0,2.0,540.0,4500.0,4.800000000000001
1200.0,4.0,600.0,4000.0,3.5999999999999996
600.0,2.5,540.0,4500.0,1.2000000000000002
3000.0,4.0,420.0,500.0,4.800000000000001
1500.0,0.5,600.0,1500.0,4.800000000000001
2100.0,4.0,540.0,5000.0,3.0
2100.0,1.0,600.0,500.0,1.7999999999999998
2400.0,1.0,600.0,4500.0,1.7999999999999998
3000.0,2.5,600.0,5000.0,1.2000000000000002
3000.0,1.5,540.0,2500.0,2.4000000000000004
1500.0,3.0,600.0,4000.0,6.0
2400.0,3.5,600.0,2000.0,4.199999999999999
1500.0,3.5,600.0,2500.0,5.4
2700.0,3.0,600.0,2500.0,2.4000000000000004
1800.0,0.5,600.0,500.0,3.0
1500.0,4.5,480.0,5000.0,4.800000000000001
900.0,4.5,600.0,4000.0,1.2000000000000002
900.0,3.0,540.0,1500.0,3.0
1500.0,1.5,600.0,4000.0,6.0
600.0,2.5,600.0,1500.0,5.4
300.0,0.5,540.0,4500.0,4.199999999999999
3000.0,4.5,600.0,3500.0,3.0
900.0,2.5,420.0,5000.0,3.0
600.0,2.5,600.0,4000.0,0.6000000000000001
3000.0,2.0,420.0,2000.0,4.800000000000001
3000.0,5.0,540.0,5000.0,6.0
3000.0,3.0,600.0,3500.0,3.5999999999999996
2100.0,2.0,540.0,4500.0,6.0
900.0,0.5,540.0,1000.0,1.7999999999999998
1800.0,1.0,600.0,4000.0,3.0
1800.0,0.5,540.0,5000.0,1.2000000000000002
3000.0,4.5,480.0,1500.0,1.7999999999999998
1500.0,0.5,600.0,1500.0,1.2000000000000002
2100.0,5.0,540.0,4500.0,2.4000000000000004
300.0,4.5,420.0,5000.0,6.0
1200.0,5.0,480.0,4500.0,6.0
3000.0,1.0,420.0,500.0,1.2000000000000002
3000.0,1.5,420.0,500.0,0.6000000000000001
600.0,4.0,600.0,1500.0,1.2000000000000002
1500.0,1.0,600.0,2500.0,3.0
2400.0,2.0,480.0,5000.0,3.5999999999999996
2400.0,4.0,600.0,4000.0,3.0
